iter	Passed	Remaining
304	1758	4006
305	1763	3998
306	1767	3990
307	1772	3982
308	1778	3976
309	1783	3970
310	1789	3964
311	1796	3961
312	1802	3956
313	1808	3952
314	1814	3946
315	1820	3940
316	1826	3934
317	1832	3929
318	1837	3923
319	1843	3918
320	1850	3913
321	1856	3908
322	1861	3901
323	1867	3896
324	1872	3889
325	1878	3884
326	1884	3878
327	1890	3873
328	1896	3867
329	1902	3861
330	1907	3856
331	1913	3849
332	1918	3843
333	1923	3835
334	1930	3831
335	1935	3824
336	1940	3816
337	1945	3810
338	1950	3802
339	1955	3795
340	1959	3787
341	1965	3781
342	1970	3775
343	1976	3770
344	1982	3764
345	1988	3758
346	1995	3754
347	2000	3748
348	2006	3743
349	2011	3736
350	2017	3729
351	2021	3722
352	2027	3715
353	2032	3708
354	2037	3702
355	2043	3696
356	2049	3690
357	2054	3684
358	2061	3680
359	2067	3675
360	2072	3668
361	2078	3662
362	2083	3656
363	2089	3650
364	2094	3644
365	2100	3638
366	2106	3632
367	2111	3626
368	2117	3620
369	2123	3614
370	2128	3609
371	2134	3603
372	2140	3597
373	2146	3592
374	2152	3586
375	2159	3584
376	2173	3591
377	2184	3595
378	2263	3708
379	2295	3744
380	2307	3748
381	2320	3754
382	2338	3767
383	2350	3770
384	2375	3795
385	2388	3799
386	2445	3874
387	2498	3940
388	2520	3958
389	2536	3967
390	2545	3964
391	2553	3960
392	2564	3960
393	2571	3955
394	2579	3950
395	2585	3944
396	2592	3937
397	2598	3930
398	2605	3923
399	2611	3917
400	2618	3911
401	2625	3905
402	2630	3897
403	2637	3890
404	2643	3884
405	2649	3876
406	2655	3869
407	2663	3864
408	2669	3857
409	2675	3849
410	2681	3842
411	2687	3835
412	2693	3828
413	2699	3821
414	2705	3813
415	2712	3807
416	2717	3799
417	2723	3791
418	2729	3784
419	2734	3776
420	2740	3769
421	2747	3762
422	2752	3754
423	2758	3746
424	2765	3741
425	2773	3736
426	2779	3730
427	2785	3722
428	2791	3715
429	2797	3708
430	2803	3700
431	2809	3693
432	2814	3685
433	2821	3679
434	2827	3672
435	2833	3664
436	2838	3656
437	2844	3649
438	2850	3642
439	2855	3634
440	2861	3627
441	2867	3620
442	2873	3612
443	2878	3605
444	2885	3598
445	2890	3590
446	2896	3583
447	2902	3575
448	2908	3568
449	2914	3562
450	2920	3555
451	2927	3549
452	2933	3542
453	2939	3534
454	2945	3527
455	2951	3520
456	2957	3513
457	2962	3505
458	2968	3498
459	2975	3492
460	2981	3486
461	2987	3478
462	2992	3470
463	2997	3462
464	3002	3454
465	3007	3446
466	3012	3438
467	3017	3430
468	3022	3422
469	3027	3413
470	3032	3405
471	3037	3398
472	3042	3390
473	3048	3382
474	3053	3374
475	3058	3366
476	3062	3358
477	3067	3349
478	3072	3342
479	3077	3333
480	3082	3325
481	3087	3317
482	3091	3309
483	3095	3300
484	3101	3293
485	3106	3285
486	3111	3278
487	3116	3269
488	3121	3261
489	3126	3254
490	3131	3246
491	3136	3238
492	3141	3230
493	3146	3222
494	3151	3214
495	3156	3207
496	3160	3199
497	3165	3191
498	3170	3183
499	3176	3176
500	3182	3169
501	3187	3162
502	3193	3155
503	3199	3148
504	3204	3141
505	3209	3133
506	3214	3125
507	3219	3117
508	3224	3110
509	3229	3102
510	3234	3094
511	3238	3087
512	3243	3079
513	3247	3071
514	3252	3063
515	3257	3055
516	3262	3047
517	3266	3039
518	3271	3031
519	3275	3023
520	3280	3016
521	3285	3008
522	3289	3000
523	3293	2992
524	3298	2984
525	3303	2976
526	3308	2969
527	3312	2961
528	3317	2953
529	3322	2946
530	3326	2938
531	3330	2930
532	3335	2922
533	3340	2915
534	3344	2907
535	3349	2899
536	3354	2892
537	3359	2884
538	3363	2876
539	3368	2869
540	3373	2862
541	3377	2854
542	3382	2846
543	3387	2839
544	3392	2832
545	3397	2824
546	3401	2817
547	3406	2809
548	3411	2802
549	3416	2794
550	3420	2787
551	3425	2780
552	3430	2773
553	3435	2765
554	3440	2758
555	3444	2751
556	3449	2743
557	3453	2735
558	3458	2728
559	3462	2720
560	3467	2713
561	3472	2706
562	3477	2699
563	3481	2691
564	3486	2684
565	3490	2676
566	3495	2669
567	3500	2662
568	3505	2655
569	3509	2647
570	3514	2640
571	3518	2633
572	3523	2625
573	3528	2618
574	3533	2611
575	3538	2604
576	3542	2597
577	3547	2589
578	3551	2582
579	3556	2575
580	3562	2568
581	3567	2562
582	3572	2555
583	3577	2548
584	3583	2541
585	3588	2535
586	3593	2528
587	3598	2521
588	3603	2514
589	3608	2507
590	3613	2500
591	3618	2493
592	3622	2486
593	3627	2479
594	3631	2472
595	3636	2465
596	3641	2458
597	3645	2450
598	3650	2443
599	3656	2437
600	3660	2430
601	3665	2423
602	3671	2417
603	3675	2409
604	3680	2402
605	3684	2395
606	3688	2388
607	3693	2381
608	3698	2374
609	3703	2367
610	3707	2360
611	3712	2353
612	3716	2346
613	3721	2339
614	3726	2332
615	3730	2325
616	3734	2318
617	3739	2311
618	3744	2304
619	3750	2298
620	3754	2291
621	3759	2284
622	3764	2278
623	3769	2271
624	3775	2265
625	3780	2258
626	3785	2251
627	3790	2245
628	3795	2238
629	3800	2232
630	3805	2225
631	3810	2218
632	3815	2211
633	3819	2205
634	3824	2198
635	3829	2191
636	3834	2184
637	3838	2178
638	3843	2171
639	3849	2165
640	3854	2158
641	3859	2152
642	3864	2145
643	3870	2139
644	3875	2133
645	3880	2126
646	3886	2120
647	3892	2114
648	3898	2108
649	3904	2102
650	3909	2095
651	3914	2089
652	3921	2083
653	3927	2077
654	3933	2071
655	3938	2065
656	3944	2059
657	3949	2052
658	3955	2046
659	3961	2040
660	3967	2034
661	3973	2028
662	3978	2022
663	3984	2016
664	3990	2010
665	3995	2003
666	4001	1997
667	4007	1991
668	4013	1985
669	4019	1979
670	4024	1973
671	4029	1966
672	4034	1960
673	4040	1954
674	4046	1948
675	4051	1942
676	4057	1935
677	4062	1929
678	4068	1923
679	4074	1917
680	4079	1911
681	4085	1904
682	4090	1898
683	4096	1892
684	4102	1886
685	4108	1880
686	4113	1874
687	4118	1867
688	4123	1861
689	4129	1855
690	4135	1849
691	4141	1843
692	4146	1837
693	4152	1830
694	4158	1824
695	4163	1818
696	4169	1812
697	4175	1806
698	4180	1800
699	4185	1793
700	4190	1787
701	4195	1781
702	4200	1774
703	4206	1768
704	4210	1761
705	4216	1755
706	4221	1749
707	4226	1743
708	4231	1736
709	4236	1730
710	4240	1723
711	4245	1717
712	4249	1710
713	4254	1704
714	4259	1697
715	4264	1691
716	4269	1685
717	4274	1678
718	4278	1672
719	4283	1665
720	4288	1659
721	4292	1652
722	4297	1646
723	4301	1639
724	4306	1633
725	4311	1627
726	4316	1620
727	4321	1614
728	4325	1607
729	4329	1601
730	4334	1595
731	4338	1588
732	4343	1582
733	4347	1575
734	4352	1569
735	4356	1562
736	4361	1556
737	4366	1550
738	4370	1543
739	4375	1537
740	4380	1531
741	4385	1524
742	4390	1518
743	4394	1512
744	4399	1505
745	4404	1499
746	4409	1493
747	4415	1487
748	4420	1481
749	4425	1475
750	4431	1469
751	4436	1462
752	4441	1456
753	4446	1450
754	4451	1444
755	4456	1438
756	4461	1432
757	4467	1426
758	4472	1420
759	4478	1414
760	4484	1408
761	4489	1402
762	4493	1395
763	4498	1389
764	4503	1383
765	4508	1377
766	4512	1370
767	4517	1364
768	4522	1358
769	4527	1352
770	4531	1346
771	4536	1339
772	4540	1333
773	4545	1327
774	4550	1320
775	4554	1314
776	4559	1308
777	4563	1302
778	4568	1296
779	4572	1289
780	4577	1283
781	4582	1277
782	4586	1271
783	4590	1264
784	4595	1258
785	4600	1252
786	4605	1246
787	4610	1240
788	4614	1233
789	4618	1227
790	4622	1221
791	4627	1215
792	4631	1208
793	4636	1202
794	4640	1196
795	4645	1190
796	4650	1184
797	4654	1178
798	4659	1172
799	4663	1165
800	4668	1159
801	4672	1153
802	4677	1147
803	4682	1141
804	4686	1135
805	4691	1129
806	4696	1123
807	4700	1117
808	4705	1110
809	4710	1104
810	4714	1098
811	4719	1092
812	4723	1086
813	4728	1080
814	4732	1074
815	4736	1068
816	4741	1062
817	4745	1055
818	4750	1049
819	4754	1043
820	4759	1037
821	4763	1031
822	4768	1025
823	4772	1019
824	4777	1013
825	4781	1007
826	4786	1001
827	4791	995
828	4795	989
829	4800	983
830	4805	977
831	4809	971
832	4814	965
833	4818	959
834	4822	952
835	4826	946
836	4831	940
837	4836	934
838	4841	929
839	4846	923
840	4851	917
841	4855	911
842	4859	905
843	4863	899
844	4868	893
845	4873	887
846	4877	881
847	4882	875
848	4886	869
849	4891	863
850	4895	857
851	4900	851
852	4904	845
853	4909	839
854	4914	833
855	4919	827
856	4923	821
857	4928	815
858	4933	809
859	4937	803
860	4941	797
861	4946	791
862	4950	785
863	4955	779
864	4959	774
865	4964	768
866	4969	762
867	4974	756
868	4979	750
869	4983	744
870	4987	738
871	4992	732
872	4996	726
873	5001	721
874	5006	715
875	5011	709
876	5016	703
877	5020	697
878	5025	691
879	5030	685
880	5034	680
881	5038	674
882	5043	668
883	5048	662
884	5052	656
885	5057	650
886	5061	644
887	5066	639
888	5071	633
889	5076	627
890	5081	621
891	5088	616
892	5094	610
893	5099	604
894	5105	598
895	5110	593
896	5115	587
897	5121	581
898	5126	575
899	5131	570
900	5136	564
901	5142	558
902	5147	552
903	5152	547
904	5158	541
905	5164	535
906	5169	530
907	5175	524
908	5181	518
909	5187	513
910	5192	507
911	5198	501
912	5204	495
913	5209	490
914	5215	484
915	5221	478
916	5226	473
917	5232	467
918	5237	461
919	5243	455
920	5249	450
921	5254	444
922	5260	438
923	5266	433
924	5271	427
925	5278	421
926	5284	416
927	5289	410
928	5295	404
929	5301	399
930	5306	393
931	5312	387
932	5318	381
933	5324	376
934	5330	370
935	5335	364
936	5341	359
937	5347	353
938	5353	347
939	5359	342
940	5365	336
941	5370	330
942	5376	324
943	5382	319
944	5388	313
945	5393	307
946	5399	302
947	5404	296
948	5410	290
949	5415	285
950	5421	279
951	5426	273
952	5431	267
953	5436	262
954	5441	256
955	5447	250
956	5451	244
957	5456	239
958	5462	233
959	5467	227
960	5472	222
961	5478	216
962	5483	210
963	5489	204
964	5494	199
965	5499	193
966	5505	187
967	5510	182
968	5515	176
969	5520	170
970	5524	165
971	5529	159
972	5534	153
973	5539	147
974	5544	142
975	5549	136
976	5553	130
977	5558	125
978	5562	119
979	5567	113
980	5572	107
981	5577	102
982	5582	96
983	5586	90
984	5591	85
985	5596	79
986	5602	73
987	5606	68
988	5611	62
989	5616	56
990	5620	51
991	5624	45
992	5629	39
993	5634	34
994	5639	28
995	5644	22
996	5648	16
997	5653	11
998	5658	5
999	5662	0
